Model,RMSE,MAE,R²
Linear Regression,33.13310870193027,26.107894948742604,0.5879022232152002
Random Forest,22.51919536311723,17.321339734796528,0.8096373954694804
XGBoost,22.31954135437221,17.422840118408203,0.8129979372024536
